station_id,station_name,date_J1,ma_pred,es_pred,last_actual
1,SF-SPI-L01-01,2026-05-11,7.753,7.959,8.92
2,HDR-MLD-L01-01,2026-05-11,8.269,8.044,7.38
3,HDR-MLD-L01-02,2026-05-11,7.679,7.887,8.91
4,FRA-PP-L01-01,2026-05-11,8.019,7.853,8.13
5,FRA-PP-L01-02,2026-05-11,7.704,7.919,7.32
6,FRA-PP-L01-03,2026-05-11,7.767,8.155,7.86
7,FRA-OVE-L01-01,2026-05-11,7.871,8.081,7.58
8,FRA-AOI-L01-01,2026-05-11,8.047,7.958,7.92
9,SFX-PLM-PROG-01,2026-05-11,7.589,7.855,8.3
10,SFX-PLM-ASSY-01,2026-05-11,7.844,8.14,7.12
