production_day,station_id,station_name,oee_pct,availability_pct,performance_pct,quality_pct,defect_rate_pct,downtime_minutes,mtbf_hours,mttr_hours,anomaly_score,is_anomaly
2026-01-06,10,SFX-PLM-ASSY-01,49.35,55.13,99.57,89.89,0.0,128.67,0.0,0.0,-0.002464410221037494,True
2026-04-10,10,SFX-PLM-ASSY-01,32.52,36.26,99.33,90.3,0.0,28.87,0.0,0.0,-0.015487552353801615,True
2026-04-10,10,SFX-PLM-ASSY-01,32.52,36.26,99.33,90.3,0.0,19.4,0.0,0.0,-0.021178995358495878,True
2026-04-10,10,SFX-PLM-ASSY-01,32.52,36.26,99.33,90.3,0.0,20.13,0.0,0.0,-0.019902436011332014,True
2026-04-10,10,SFX-PLM-ASSY-01,32.52,36.26,99.33,90.3,0.0,132.58,0.0,0.0,-0.09694139002958735,True
2026-04-10,10,SFX-PLM-ASSY-01,32.52,36.26,99.33,90.3,0.0,50.47,0.0,0.0,-0.029631756455230196,True
2026-05-01,10,SFX-PLM-ASSY-01,40.81,45.18,99.38,90.89,0.0,86.18,0.0,0.0,-0.003923283573571856,True
2026-02-13,10,SFX-PLM-ASSY-01,25.47,27.98,99.6,91.42,0.0,76.58,0.0,0.0,-0.02080708418038979,True
2026-01-29,10,SFX-PLM-ASSY-01,31.6,34.22,99.72,92.62,0.0,117.33,0.0,0.0,-0.04577883382992565,True
2025-12-04,10,SFX-PLM-ASSY-01,93.11,100.0,99.72,93.36,0.0,94.07,0.0,0.0,-0.0064187660434597005,True
2026-01-15,10,SFX-PLM-ASSY-01,92.93,100.0,99.58,93.32,0.0,152.58,0.0,0.0,-0.060947517566538045,True
2026-01-15,10,SFX-PLM-ASSY-01,92.93,100.0,99.58,93.32,0.0,100.3,0.0,0.0,-0.007903638886426978,True
2026-02-17,10,SFX-PLM-ASSY-01,44.25,48.21,99.6,92.16,0.0,151.67,0.0,0.0,-0.01041211961865518,True
2026-03-30,10,SFX-PLM-ASSY-01,19.67,22.09,99.85,89.18,0.0,52.1,0.0,0.0,-0.09931853516943845,True
2026-03-30,10,SFX-PLM-ASSY-01,19.67,22.09,99.85,89.18,0.0,57.78,0.0,0.0,-0.10235959333551936,True
2026-03-30,10,SFX-PLM-ASSY-01,19.67,22.09,99.85,89.18,0.0,35.5,0.0,0.0,-0.09176386584177876,True
2026-03-30,10,SFX-PLM-ASSY-01,19.67,22.09,99.85,89.18,0.0,19.28,0.0,0.0,-0.09286138037014902,True
2026-03-30,10,SFX-PLM-ASSY-01,19.67,22.09,99.85,89.18,0.0,35.35,0.0,0.0,-0.09176386584177876,True
2026-03-03,8,FRA-AOI-L01-01,28.96,30.85,99.39,94.43,0.0,72.73,0.0,0.0,-0.07929375594219534,True
2026-03-03,8,FRA-AOI-L01-01,28.96,30.85,99.39,94.43,0.0,17.27,0.0,0.0,-0.059975323750455445,True
2026-03-03,8,FRA-AOI-L01-01,28.96,30.85,99.39,94.43,0.0,46.43,0.0,0.0,-0.061054111746356665,True
2025-12-19,8,FRA-AOI-L01-01,30.44,33.03,99.66,92.47,0.0,90.03,0.0,0.0,-0.012001949106114518,True
2025-11-13,8,FRA-AOI-L01-01,35.73,39.53,99.79,90.59,0.0,89.22,0.0,0.0,-0.024435320025748775,True
2026-01-16,8,FRA-AOI-L01-01,24.19,26.34,99.44,92.33,0.0,136.17,0.0,0.0,-0.10399374731528033,True
2026-01-16,8,FRA-AOI-L01-01,24.19,26.34,99.44,92.33,0.0,12.98,0.0,0.0,-0.030752001370646043,True
2026-01-16,8,FRA-AOI-L01-01,24.19,26.34,99.44,92.33,0.0,35.13,0.0,0.0,-0.021970500426174433,True
2026-01-16,8,FRA-AOI-L01-01,24.19,26.34,99.44,92.33,0.0,66.03,0.0,0.0,-0.050330886234425165,True
2025-11-27,8,FRA-AOI-L01-01,92.07,100.0,99.73,92.32,0.0,135.93,0.0,0.0,-0.016421748328604213,True
2026-03-06,8,FRA-AOI-L01-01,93.19,100.0,99.62,93.55,0.0,105.18,0.0,0.0,-0.020636382214459736,True
2026-02-23,8,FRA-AOI-L01-01,53.34,56.81,99.75,94.13,0.0,145.2,0.0,0.0,-0.036721878729142676,True
2026-04-30,6,FRA-PP-L01-03,39.79,43.69,99.35,91.68,0.0,136.3,0.0,0.0,-0.05577850027986142,True
2026-05-04,6,FRA-PP-L01-03,48.74,52.36,99.26,93.77,0.0,59.2,0.0,0.0,-0.005185956909875555,True
2026-05-04,6,FRA-PP-L01-03,48.74,52.36,99.26,93.77,0.0,63.33,0.0,0.0,-0.010653678130479793,True
