production_day,station_id,station_name,oee_pct,z_score,severity
2026-03-12,4,FRA-PP-L01-01,47.83,-1.1245651906043188,normal
2026-04-20,4,FRA-PP-L01-01,78.21,0.7151764911900498,normal
2026-02-18,4,FRA-PP-L01-01,59.48,-0.4190684627272814,normal
2025-11-28,4,FRA-PP-L01-01,40.97,-1.53999073165466,normal
2026-03-13,4,FRA-PP-L01-01,58.95,-0.4511640220212578,normal
2025-12-17,4,FRA-PP-L01-01,49.37,-1.0313063956746502,normal
2026-05-07,4,FRA-PP-L01-01,67.5,0.06660396281553768,normal
2026-03-18,4,FRA-PP-L01-01,68.47,0.1253448920894197,normal
2026-03-10,4,FRA-PP-L01-01,34.95,-1.904547839107,normal
2026-02-25,4,FRA-PP-L01-01,57.77,-0.5226220596946402,normal
2026-01-20,4,FRA-PP-L01-01,46.91,-1.180278236925939,normal
2026-01-01,4,FRA-PP-L01-01,91.94,1.5466331498811852,normal
2026-02-02,4,FRA-PP-L01-01,78.15,0.7115430316473361,normal
2026-01-05,4,FRA-PP-L01-01,54.9,-0.6964225411544771,normal
2026-03-19,4,FRA-PP-L01-01,91.1,1.495764716283184,normal
2026-01-26,4,FRA-PP-L01-01,65.53,-0.0526946255035836,normal
2025-11-14,4,FRA-PP-L01-01,82.85,0.99616402915996,normal
2026-02-16,4,FRA-PP-L01-01,68.64,0.13563969412711047,normal
2025-12-22,4,FRA-PP-L01-01,66.64,0.01452437603663195,normal
2026-05-04,4,FRA-PP-L01-01,63.77,-0.15927610542320458,normal
2026-01-16,4,FRA-PP-L01-01,66.2,-0.012120993943273189,normal
2026-05-05,4,FRA-PP-L01-01,56.53,-0.597713556910737,normal
2026-01-02,4,FRA-PP-L01-01,91.32,1.5090874012731366,normal
2026-04-22,4,FRA-PP-L01-01,63.57,-0.17138763723225262,normal
2026-01-08,4,FRA-PP-L01-01,90.03,1.4309680211047784,normal
2026-03-20,4,FRA-PP-L01-01,93.29,1.6283859895922586,normal
2026-04-14,4,FRA-PP-L01-01,71.88,0.3318465094336854,normal
2026-03-31,4,FRA-PP-L01-01,55.87,-0.6376816118805951,normal
2025-12-31,4,FRA-PP-L01-01,90.9,1.4836531844741367,normal
