production_day,station_id,station_name,downtime_minutes,downtime_type,z_score
2025-11-13,8,FRA-AOI-L01-01,89.22,Breakdown,2.177578485422003
2025-11-13,5,FRA-PP-L01-02,22.05,Trial & Pilot Run,-0.5211963837127224
2025-11-13,9,SFX-PLM-PROG-01,68.57,Meeting,1.3478970644359662
2025-11-13,6,FRA-PP-L01-03,8.27,Fire Drills,-1.0748530413973512
2025-11-13,2,HDR-MLD-L01-01,5.8,Preventive Maintenance,-1.174093385699313
2025-11-13,5,FRA-PP-L01-02,31.93,Preventive Maintenance,-0.1242350065048753
2025-11-13,8,FRA-AOI-L01-01,39.85,Meeting,0.1939769476941277
2025-11-13,3,HDR-MLD-L01-02,4.5,Breakdown,-1.2263251458582403
2025-11-13,3,HDR-MLD-L01-02,20.98,Trial & Pilot Run,-0.5641871401512241
2025-11-13,4,FRA-PP-L01-01,34.42,Material Check,-0.02419109666200687
2025-11-13,6,FRA-PP-L01-03,56.1,Breakdown,0.8468739496807184
2025-11-13,6,FRA-PP-L01-03,28.35,Material Check,-0.2680732383271518
2025-11-13,8,FRA-AOI-L01-01,68.72,Calibration,1.3539238059927658
2025-11-13,4,FRA-PP-L01-01,33.27,Breakdown,-0.07039611526413476
2025-11-13,9,SFX-PLM-PROG-01,49.47,Part Shortage,0.5804919728701893
2025-11-13,3,HDR-MLD-L01-02,33.58,Part Shortage,-0.05794084938008308
2025-11-13,5,FRA-PP-L01-02,38.97,Meeting,0.15862006389423838
2025-11-13,8,FRA-AOI-L01-01,5.53,Material Check,-1.1849415205015517
2025-11-14,3,HDR-MLD-L01-02,30.77,Calibration,-0.17084180787745654
2025-11-14,5,FRA-PP-L01-02,20.97,Meeting,-0.5645889229216774
2025-11-14,9,SFX-PLM-PROG-01,44.08,Material Check,0.3639310595958678
2025-11-14,1,SF-SPI-L01-01,46.63,Part Shortage,0.46638566606145604
2025-11-14,2,HDR-MLD-L01-01,46.68,Breakdown,0.46839457991372235
2025-11-14,1,SF-SPI-L01-01,14.65,Breakdown,-0.8185156338481545
2025-11-14,10,SFX-PLM-ASSY-01,6.95,Breakdown,-1.127888367097185
2025-11-14,1,SF-SPI-L01-01,11.15,Meeting,-0.9591396035068047
2025-11-14,9,SFX-PLM-PROG-01,89.48,Breakdown,2.188024837453789
2025-11-14,10,SFX-PLM-ASSY-01,12.8,Meeting,-0.8928454463820124
2025-11-14,3,HDR-MLD-L01-02,34.35,Cleaning,-0.027003576055179886
2025-11-14,5,FRA-PP-L01-02,53.92,Part Shortage,0.7592853057219019
2025-11-14,9,SFX-PLM-PROG-01,20.22,Inventory Check,-0.5947226307056739
2025-11-14,8,FRA-AOI-L01-01,15.67,No Production & Break,-0.7775337912619191
2025-11-14,6,FRA-PP-L01-03,51.77,Breakdown,0.6729020100744453
2025-11-14,4,FRA-PP-L01-01,60.28,Part Shortage,1.014819147730192
2025-11-14,6,FRA-PP-L01-03,38.77,Calibration,0.15058440848517282
2025-11-14,8,FRA-AOI-L01-01,104.12,Breakdown,2.7762348133974
2025-11-14,1,SF-SPI-L01-01,37.42,Inventory Check,0.09634373447397909
2025-11-14,3,HDR-MLD-L01-02,38.45,Breakdown,0.13772735983066764
2025-11-14,3,HDR-MLD-L01-02,43.55,Meeting,0.34263657276184356
2025-11-14,9,SFX-PLM-PROG-01,42.62,Setup,0.3052707751096879
2025-11-14,8,FRA-AOI-L01-01,15.93,Preventive Maintenance,-0.7670874392301338
2025-11-14,2,HDR-MLD-L01-01,9.07,Part Shortage,-1.0427104197610884
2025-11-14,9,SFX-PLM-PROG-01,15.38,Cleaning,-0.7891854916050645
2025-11-14,4,FRA-PP-L01-01,12.12,Meeting,-0.920166674772836
2025-11-14,8,FRA-AOI-L01-01,17.35,Calibration,-0.710034285825767
2025-11-14,10,SFX-PLM-ASSY-01,30.93,Material Check,-0.16441328355020396
2025-11-14,3,HDR-MLD-L01-02,74.78,Part Shortage,1.5974041648874575
2025-11-14,3,HDR-MLD-L01-02,42.97,Inventory Check,0.319333172075553
