production_day,station_id,station_name,oee_pct,z_score,severity
2025-12-19,8,FRA-AOI-L01-01,30.44,-2.280946498455726,warning
2026-01-16,8,FRA-AOI-L01-01,24.19,-2.6472356261028094,warning
2026-03-03,8,FRA-AOI-L01-01,28.96,-2.367683763882555,warning
2026-04-30,7,FRA-OVE-L01-01,34.77,-2.071922485681222,warning
2025-11-19,4,FRA-PP-L01-01,30.46,-2.1764517282201252,warning
2025-12-29,4,FRA-PP-L01-01,32.69,-2.041408148549242,warning
2026-01-21,4,FRA-PP-L01-01,20.2,-2.7977733100242803,warning
2026-02-17,5,FRA-PP-L01-02,34.8,-2.1450076023065683,warning
2026-04-01,5,FRA-PP-L01-02,33.73,-2.214583544466056,warning
2026-01-08,6,FRA-PP-L01-03,33.74,-2.0140800237799272,warning
2026-02-10,6,FRA-PP-L01-03,27.63,-2.387899761445887,warning
2026-02-03,2,HDR-MLD-L01-01,30.86,-2.293894973017561,warning
2026-04-08,2,HDR-MLD-L01-01,31.4,-2.260879805679369,warning
2026-04-09,2,HDR-MLD-L01-01,30.71,-2.3030658528337256,warning
2026-01-07,3,HDR-MLD-L01-02,18.91,-2.9878029156367485,warning
2026-02-19,3,HDR-MLD-L01-02,31.88,-2.2033112633744016,warning
2026-03-12,3,HDR-MLD-L01-02,24.45,-2.652715502102947,warning
2025-12-02,1,SF-SPI-L01-01,26.5,-2.4710916238727965,warning
2026-03-13,1,SF-SPI-L01-01,22.36,-2.708726253401018,warning
2026-04-21,1,SF-SPI-L01-01,29.49,-2.2994666136579704,warning
2026-01-29,10,SFX-PLM-ASSY-01,31.6,-2.0423255823880178,warning
2026-02-13,10,SFX-PLM-ASSY-01,25.47,-2.395372454729671,warning
2026-03-30,10,SFX-PLM-ASSY-01,19.67,-2.729413541121447,warning
2026-02-25,9,SFX-PLM-PROG-01,24.41,-2.6086812077252657,warning
